"Hiragana","Kanji","English","Example","Translation"
"うれしい","","happy, pleased","<ruby>試験<rt>しけん</rt></ruby>に<ruby>合格<rt>ごうかく</rt></ruby>したので、とても<ruby>嬉しい<rt>うれしい</rt></ruby>です。<ruby>家族<rt>かぞく</rt></ruby>や<ruby>友達<rt>ともだち</rt></ruby>に<ruby>報告<rt>ほうこく</rt></ruby>するのが<ruby>楽しみ<rt>たのしみ</rt></ruby>です。","I'm very happy because I passed the exam. I'm looking forward to reporting it to my family and friends."
"おいしい","美味しい","tasty","このレストランの<ruby>料理<rt>りょうり</rt></ruby>は、とても<ruby>美味しい<rt>おいしい</rt></ruby>です。<ruby>特に<rt>とくに</rt></ruby>、カレーライスがおすすめです。","The food at this restaurant is very tasty. Especially, I recommend the curry rice."
"おおい","多い","many","この<ruby>店<rt>みせ</rt></ruby>には、たくさんの<ruby>種類<rt>しゅるい</rt></ruby>のパンがあります。どれを<ruby>買おう<rt>かおう</rt></ruby>か<ruby>迷っ<rt>まよっ</rt></ruby>てしまいます。","This store has many kinds of bread. I can't decide which one to buy."
"おおきい","大きい","large, big","<ruby>私<rt>わたくし</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>には、<ruby>大きな<rt>おおきな</rt></ruby><ruby>犬<rt>いぬ</rt></ruby>がいます。<ruby>名前<rt>なまえ</rt></ruby>はポチで、とても<ruby>元気<rt>げんき</rt></ruby>です。","I have a big dog in my house. His name is Pochi, and he is very energetic."
"おかしい","","funny","<ruby>彼<rt>かれ</rt></ruby>の<ruby>話<rt>はなし</rt></ruby>はいつもおかしいです。<ruby>聞い<rt>きい</rt></ruby>ていると、いつも<ruby>笑っ<rt>わらっ</rt></ruby>てしまいます。","His stories are always funny. When I listen to them, I always laugh."
"おそい","遅い","slow, late","バスが<ruby>遅れ<rt>おくれ</rt></ruby>て、<ruby>学校<rt>がっこう</rt></ruby>に<ruby>遅刻<rt>ちこく</rt></ruby>してしまいました。<ruby>先生<rt>せんせい</rt></ruby>に<ruby>謝ら<rt>あやまら</rt></ruby>なければなりません。","The bus was late, and I was late for school. I have to apologize to the teacher."
"おもしろい","面白い","interesting","この<ruby>本<rt>ほん</rt></ruby>はとても<ruby>面白い<rt>おもしろい</rt></ruby>です。<ruby>一<rt>いち</rt></ruby><ruby>度<rt>ど</rt></ruby><ruby>読み<rt>よみ</rt></ruby><ruby>始め<rt>はじめ</rt></ruby>たら、<ruby>止まら<rt>とまら</rt></ruby>なくなってしまいます。","This book is very interesting. Once you start reading it, you can't stop."
"かなしい","悲しい","sad","<ruby>映画<rt>えいが</rt></ruby>の<ruby>主人<rt>しゅじん</rt></ruby><ruby>公<rt>こう</rt></ruby>が<ruby>死ん<rt>しん</rt></ruby>でしまって、とても<ruby>悲しい<rt>かなしい</rt></ruby><ruby>気持ち<rt>きもち</rt></ruby>になりました。","The main character in the movie died, and I felt very sad."
"かわいい","","cute","<ruby>彼女<rt>かのじょ</rt></ruby>はとてもかわいい<ruby>猫<rt>ねこ</rt></ruby>を<ruby>飼っ<rt>かっ</rt></ruby>ています。<ruby>名前<rt>なまえ</rt></ruby>はミケで、いつも<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>寝<rt>ね</rt></ruby>ています。","She has a very cute cat. Her name is Mike, and she always sleeps with her."
"きたない","汚い","dirty","<ruby>子供<rt>こども</rt></ruby>が<ruby>公園<rt>こうえん</rt></ruby>で<ruby>遊ん<rt>あそん</rt></ruby>だ<ruby>後<rt>あと</rt></ruby>、<ruby>服<rt>ふく</rt></ruby>がとても<ruby>汚く<rt>きたなく</rt></ruby>なりました。<ruby>洗濯<rt>せんたく</rt></ruby>しなければなりません。","After the child played in the park, their clothes became very dirty. I have to wash them."
"きびしい","厳しい","strict, tough","<ruby>私<rt>わたくし</rt></ruby>の<ruby>父<rt>ちち</rt></ruby>はとても<ruby>厳しい<rt>きびしい</rt></ruby>です。いつも<ruby>私<rt>わたくし</rt></ruby>に<ruby>勉強<rt>べんきょう</rt></ruby>するように<ruby>言い<rt>いい</rt></ruby>ます。","My father is very strict. He always tells me to study."
"くらい","暗い","dark","<ruby>夜<rt>よる</rt></ruby>になると、<ruby>部屋<rt>へや</rt></ruby>が<ruby>暗く<rt>くらく</rt></ruby>なります。<ruby>電気<rt>でんき</rt></ruby>をつけないと、<ruby>何<rt>なん</rt></ruby>も<ruby>見え<rt>みえ</rt></ruby>ません。","When it gets dark, the room becomes dark. I can't see anything without turning on the light."
"こわい","怖い","scary","お<ruby>化け<rt>ばけ</rt></ruby><ruby>屋敷<rt>やしき</rt></ruby>はとても<ruby>怖い<rt>こわい</rt></ruby>です。<ruby>私<rt>わたくし</rt></ruby>は<ruby>絶対<rt>ぜったい</rt></ruby>に<ruby>行き<rt>いき</rt></ruby>たくありません。","Haunted houses are very scary. I definitely don't want to go."
"さむい","寒い","cold","<ruby>冬<rt>ふゆ</rt></ruby>はとても<ruby>寒い<rt>さむい</rt></ruby>です。<ruby>毎日<rt>まいにち</rt></ruby>、<ruby>暖かい<rt>あたたかい</rt></ruby>コートを<ruby>着<rt>き</rt></ruby>て<ruby>出かけ<rt>でかけ</rt></ruby>ます。","It's very cold in winter. I wear a warm coat every day when I go out."
"すくない","少ない","few","このクラスの<ruby>生徒<rt>せいと</rt></ruby>は<ruby>少ない<rt>すくない</rt></ruby>です。<ruby>先生<rt>せんせい</rt></ruby>は<ruby>一人ひとり<rt>ひとりひとり</rt></ruby>に<ruby>丁寧<rt>ていねい</rt></ruby>に<ruby>教え<rt>おしえ</rt></ruby>てくれます。","There are few students in this class. The teacher teaches each student carefully."
"すごい","","fantastic","<ruby>彼<rt>かれ</rt></ruby>はギターがとても<ruby>上手<rt>じょうず</rt></ruby>です。<ruby>彼<rt>かれ</rt></ruby>の<ruby>演奏<rt>えんそう</rt></ruby>は<ruby>本当<rt>ほんとう</rt></ruby>にすごいです。","He is very good at playing the guitar. His performance is truly fantastic."
"すずしい","涼しい","cool","<ruby>山<rt>やま</rt></ruby>の<ruby>空気<rt>くうき</rt></ruby>はとても<ruby>涼しい<rt>すずしい</rt></ruby>です。<ruby>夏<rt>なつ</rt></ruby>でも<ruby>快適<rt>かいてき</rt></ruby>に<ruby>過ごせ<rt>すごせ</rt></ruby>ます。","The air in the mountains is very cool. You can spend comfortably even in summer."
"すばらしい","素晴らしい","wonderful","この<ruby>景色<rt>けしき</rt></ruby>は<ruby>素晴らしい<rt>すばらしい</rt></ruby>です。<ruby>来<rt>き</rt></ruby>てよかったと<ruby>思い<rt>おもい</rt></ruby>ました。","This scenery is wonderful. I'm glad I came."
"たかい","高い","high, expensive","あの<ruby>山<rt>やま</rt></ruby>はとても<ruby>高い<rt>たかい</rt></ruby>です。<ruby>登る<rt>のぼる</rt></ruby>には、<ruby>特別<rt>とくべつ</rt></ruby>な<ruby>準備<rt>じゅんび</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です。","That mountain is very high. Special preparation is required to climb it."
"ただしい","正しい","correct","<ruby>彼<rt>かれ</rt></ruby>の<ruby>答え<rt>こたえ</rt></ruby>は<ruby>正しい<rt>ただしい</rt></ruby>です。<ruby>先生<rt>せんせい</rt></ruby>は<ruby>彼<rt>かれ</rt></ruby>を<ruby>褒め<rt>ほめ</rt></ruby>ました。","His answer is correct. The teacher praised him."
"たのしい","楽しい","enjoyable","<ruby>友達<rt>ともだち</rt></ruby>と<ruby>遊ぶ<rt>あそぶ</rt></ruby>のはとても<ruby>楽しい<rt>たのしい</rt></ruby>です。いつも<ruby>笑っ<rt>わらっ</rt></ruby>て<ruby>過ごし<rt>すごし</rt></ruby>ています。","Playing with friends is very enjoyable. I always spend my time laughing."
"ちいさい","小さい","small","<ruby>私<rt>わたくし</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>には<ruby>小さい<rt>ちいさい</rt></ruby><ruby>庭<rt>にわ</rt></ruby>があります。そこで<ruby>花<rt>はな</rt></ruby>を<ruby>育て<rt>そだて</rt></ruby>ています。","I have a small garden in my house. I grow flowers there."
"ちかい","近い","near","<ruby>私<rt>わたくし</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>から<ruby>学校<rt>がっこう</rt></ruby>まで<ruby>近い<rt>ちかい</rt></ruby>です。<ruby>歩い<rt>あるい</rt></ruby>て10<ruby>分<rt>ぶん</rt></ruby>で<ruby>行け<rt>いけ</rt></ruby>ます。","My house is near to the school. I can walk there in 10 minutes."
"つまらない","","boring","<ruby>今日<rt>きょう</rt></ruby>の<ruby>授業<rt>じゅぎょう</rt></ruby>はつまらないです。<ruby>早く<rt>はやく</rt></ruby><ruby>終わり<rt>おわり</rt></ruby>たいです。","Today's class is boring. I want it to end quickly."
"つめたい","冷たい","cold (to touch)","<ruby>冷たい<rt>つめたい</rt></ruby>ジュースを<ruby>飲む<rt>のむ</rt></ruby>と、<ruby>体<rt>からだ</rt></ruby>が<ruby>涼しく<rt>すずしく</rt></ruby>なります。<ruby>夏<rt>なつ</rt></ruby>には<ruby>最高<rt>さいこう</rt></ruby>です。","Drinking cold juice makes my body cool. It's the best in summer."
"つよい","強い","strong","<ruby>彼<rt>かれ</rt></ruby>はとても<ruby>強い<rt>つよい</rt></ruby>です。<ruby>重い<rt>おもい</rt></ruby><ruby>荷物<rt>にもつ</rt></ruby>も<ruby>簡単<rt>かんたん</rt></ruby>に<ruby>持ち上げる<rt>もちあげる</rt></ruby>ことができます。","He is very strong. He can easily lift heavy luggage."
"とおい","遠い","far","<ruby>私<rt>わたくし</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>から<ruby>東京<rt>とうきょう</rt></ruby>まで<ruby>遠い<rt>とおい</rt></ruby>です。<ruby>電車<rt>でんしゃ</rt></ruby>で3<ruby>時間<rt>じかん</rt></ruby>かかります。","My house is far from Tokyo. It takes 3 hours by train."
"ながい","長い","long","<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>髪<rt>かみ</rt></ruby>は<ruby>長い<rt>ながい</rt></ruby>です。<ruby>床<rt>ゆか</rt></ruby>まで<ruby>届き<rt>とどき</rt></ruby>そうです。","Her hair is long. It looks like it will reach the floor."
"はやい","早い","early","<ruby>私<rt>わたくし</rt></ruby>は<ruby>毎日<rt>まいにち</rt></ruby><ruby>早く<rt>はやく</rt></ruby><ruby>起き<rt>おき</rt></ruby>ます。<ruby>朝ご飯<rt>あさごはん</rt></ruby>をゆっくり<ruby>食べる<rt>たべる</rt></ruby><ruby>時間<rt>じかん</rt></ruby>があります。","I wake up early every day. I have time to eat breakfast slowly."
"はやい","速い","fast","<ruby>彼<rt>かれ</rt></ruby>は<ruby>走る<rt>はしる</rt></ruby>のが<ruby>速い<rt>はやい</rt></ruby>です。<ruby>学校<rt>がっこう</rt></ruby>で<ruby>一番<rt>いちばん</rt></ruby><ruby>速い<rt>はやい</rt></ruby>かもしれません。","He is fast at running. He might be the fastest in school."
"ふるい","古い","old","<ruby>私<rt>わたくし</rt></ruby>の<ruby>家<rt>いえ</rt></ruby>は<ruby>古い<rt>ふるい</rt></ruby>です。でも、とても<ruby>落ち着き<rt>おちつき</rt></ruby>ます。","My house is old. But it's very calming."
"ほしい","欲しい","desirable","<ruby>新しい<rt>あたらしい</rt></ruby>パソコンが<ruby>欲しい<rt>ほしい</rt></ruby>です。レポートを<ruby>書く<rt>かく</rt></ruby>のが<ruby>楽<rt>らく</rt></ruby>になります。","I want a new computer. It will be easier to write reports."
"まずい","","horrible to taste","この<ruby>料理<rt>りょうり</rt></ruby>はまずいです。<ruby>塩<rt>しお</rt></ruby>が<ruby>多<rt>おお</rt></ruby>すぎます。","This dish tastes horrible. There is too much salt."
"まるい","丸い","round","<ruby>月<rt>つき</rt></ruby>は<ruby>丸い<rt>まりい</rt></ruby>です。<ruby>夜空<rt>よぞら</rt></ruby>に<ruby>輝い<rt>かがやい</rt></ruby>ています。","The moon is round. It shines in the night sky."
"みじかい","短い","short","<ruby>短い<rt>みじかい</rt></ruby><ruby>髪<rt>かみ</rt></ruby>が<ruby>好き<rt>すき</rt></ruby>です。<ruby>洗う<rt>あらう</rt></ruby>のが<ruby>楽<rt>らく</rt></ruby>です。","I like short hair. It's easy to wash."
"むしあつい","蒸し暑い","hot and sticky","<ruby>梅雨<rt>つゆ</rt></ruby>の<ruby>時期<rt>じき</rt></ruby>は<ruby>蒸し暑い<rt>むしあつい</rt></ruby>です。<ruby>毎日<rt>まいにち</rt></ruby>、<ruby>汗<rt>あせ</rt></ruby>をかきます。","The rainy season is hot and sticky. I sweat every day."
"むずかしい","難しい","difficult","<ruby>日本<rt>にっぽん</rt></ruby><ruby>語<rt>ご</rt></ruby>の<ruby>文法<rt>ぶんぽう</rt></ruby>は<ruby>難しい<rt>むずかしい</rt></ruby>です。でも、<ruby>頑張っ<rt>がんばっ</rt></ruby>て<ruby>勉強<rt>べんきょう</rt></ruby>します。","Japanese grammar is difficult. But I will study hard."
"めずらしい","珍しい","unusual, rare","これは<ruby>珍しい<rt>めずらしい</rt></ruby><ruby>切手<rt>きって</rt></ruby>です。コレクターの<ruby>間<rt>あいだ</rt></ruby>で<ruby>人気<rt>にんき</rt></ruby>があります。","This is a rare stamp. It is popular among collectors."
"やさしい","優しい","kind","<ruby>彼女<rt>かのじょ</rt></ruby>はとても<ruby>優しい<rt>やさしい</rt></ruby>です。いつも<ruby>困っ<rt>こまっ</rt></ruby>ている<ruby>人<rt>ひと</rt></ruby>を<ruby>助け<rt>たすけ</rt></ruby>てくれます。","She is very kind. She always helps people in trouble."
"やすい","安い","cheap","この<ruby>店<rt>みせ</rt></ruby>の<ruby>商品<rt>しょうひん</rt></ruby>は<ruby>安い<rt>やすい</rt></ruby>です。よく<ruby>買い物<rt>かいもの</rt></ruby>に<ruby>来<rt>き</rt></ruby>ます。","The products at this store are cheap. I often come shopping."
"よい","良い","good","<ruby>今日<rt>きょう</rt></ruby>(きょう)は<ruby>天気<rt>てんき</rt></ruby>(てんき)が<ruby>良<rt>りょう</rt></ruby>(よ)いので、<ruby>公園<rt>こうえん</rt></ruby>(こうえん)でピクニックをしませんか。<ruby>楽<rt>らく</rt></ruby>(たの)しいと<ruby>思<rt>おもえ</rt></ruby>(おも)います。","The weather is good today, so why don't we have a picnic in the park? I think it will be fun."
"よわい","弱い","weak","<ruby>私<rt>わたくし</rt></ruby>(わたし)は<ruby>体<rt>からだ</rt></ruby>(からだ)が<ruby>弱<rt>じゃく</rt></ruby>(よわ)いので、<ruby>毎日<rt>まいにち</rt></ruby>(まいにち)<ruby>運動<rt>うんどう</rt></ruby>(うんどう)しています。でも、<ruby>最近<rt>さいきん</rt></ruby>(さいきん)は<ruby>前<rt>まえ</rt></ruby>(まえ)より<ruby>元気<rt>げんき</rt></ruby>(げんき)になりました。","I have a weak body, so I exercise every day. But recently, I've become more energetic than before."
"わかい","若い","若い","<ruby>彼女<rt>かのじょ</rt></ruby>(かのじょ)はまだ<ruby>若<rt>わか</rt></ruby>(わか)いですが、とても<ruby>賢<rt>けん</rt></ruby>(かしこ)くて、<ruby>経験<rt>けいけん</rt></ruby>(けいけん)も<ruby>豊<rt>ゆたか</rt></ruby>(ゆた)かです。<ruby>将来<rt>しょうらい</rt></ruby>(しょうらい)が<ruby>楽<rt>らく</rt></ruby>(たの)しみです。","She is still young, but she is very smart and has a lot of experience. I am looking forward to her future."
"わるい","悪い","bad","<ruby>昨日<rt>きのう</rt></ruby>(きのう)は<ruby>雨<rt>あめ</rt></ruby>(あめ)で<ruby>天気<rt>てんき</rt></ruby>(てんき)が<ruby>悪<rt>わる</rt></ruby>(わる)かったので、<ruby>家<rt>いえ</rt></ruby>(うち)でずっと<ruby>本<rt>ほん</rt></ruby>(ほん)を<ruby>読<rt>よみ</rt></ruby>(よ)んでいました。","Yesterday, the weather was bad because of the rain, so I stayed home and read books all day."
"あつい","厚い","thick","この<ruby>本<rt>ほん</rt></ruby>(ほん)はとても<ruby>厚<rt>あつし</rt></ruby>(あつ)いので、<ruby>読<rt>よみ</rt></ruby>(よ)み<ruby>終<rt>おわり</rt></ruby>(お)わるのに<ruby>時間<rt>じかん</rt></ruby>(じかん)がかかります。でも、<ruby>内容<rt>ないよう</rt></ruby>(ないよう)は<ruby>面白<rt>おもしろ</rt></ruby>(おもしろ)いです。","This book is very thick, so it will take time to finish reading. But the content is interesting."
"あまい","甘い","sweet","このケーキはとても<ruby>甘<rt>かん</rt></ruby>(あま)くておいしいです。でも、<ruby>甘<rt>かん</rt></ruby>(あま)いものを<ruby>食<rt>しょく</rt></ruby>(た)べすぎると<ruby>太<rt>ふとし</rt></ruby>(ふと)るので、<ruby>気<rt>き</rt></ruby>(き)をつけましょう。","This cake is very sweet and delicious. But if you eat too many sweet things, you'll gain weight, so let's be careful."
"うすい","薄い","thin","このシャツは<ruby>生地<rt>きじ</rt></ruby>(きじ)が<ruby>薄<rt>うす</rt></ruby>(うす)いので、<ruby>夏<rt>なつ</rt></ruby>(なつ)に<ruby>着<rt>き</rt></ruby>(き)るのにちょうどいいです。<ruby>軽<rt>けい</rt></ruby>(かる)くて<ruby>涼<rt>りょう</rt></ruby>(すず)しいです。","This shirt has thin fabric, so it's perfect for wearing in the summer. It's light and cool."
"うつくしい","美しい","beautiful","<ruby>京都<rt>きょうと</rt></ruby>(きょうと)のお<ruby>寺<rt>てら</rt></ruby>(てら)はとても<ruby>美<rt>び</rt></ruby>(うつく)しいです。<ruby>特<rt>とく</rt></ruby>(とく)に<ruby>紅葉<rt>こうよう</rt></ruby>(こうよう)の<ruby>季節<rt>きせつ</rt></ruby>(きせつ)は、<ruby>景色<rt>けしき</rt></ruby>(けしき)が<ruby>最高<rt>さいこう</rt></ruby>(さいこう)です。","The temples in Kyoto are very beautiful. Especially during the autumn leaves season, the scenery is the best."
"うまい","","tasty, good at","<ruby>田中<rt>たなか</rt></ruby>(たなか)さんは<ruby>料理<rt>りょうり</rt></ruby>(りょうり)が<ruby>上手<rt>かみて</rt></ruby>(うま)いです。<ruby>特<rt>とく</rt></ruby>(とく)にカレーがとても<ruby>美味<rt>びみ</rt></ruby>(おい)しいです。いつも<ruby>作<rt>さく</rt></ruby>(つく)ってもらっています。","Tanaka-san is good at cooking. Especially his curry is very delicious. I always have him make it for me."
"えらい","偉い","distinguished, great","<ruby>医者<rt>いしゃ</rt></ruby>(いしゃ)さんは<ruby>毎日<rt>まいにち</rt></ruby>(まいにち)たくさんの<ruby>患者<rt>かんじゃ</rt></ruby>(かんじゃ)さんを<ruby>助<rt>じょ</rt></ruby>(たす)けていて、<ruby>本当<rt>ほんとう</rt></ruby>(ほんとう)に<ruby>偉<rt>い</rt></ruby>(えら)いと<ruby>思<rt>おもえ</rt></ruby>(おも)います。<ruby>尊敬<rt>そんけい</rt></ruby>(そんけい)します。","Doctors help many patients every day, and I think they are truly great. I respect them."
"おとなしい","","quiet","<ruby>彼女<rt>かのじょ</rt></ruby>(かのじょ)はとてもおとなしい<ruby>性格<rt>せいかく</rt></ruby>(せいかく)で、いつも<ruby>静<rt>せい</rt></ruby>(しず)かに<ruby>本<rt>ほん</rt></ruby>(ほん)を<ruby>読<rt>よみ</rt></ruby>(よ)んでいます。<ruby>騒<rt>さわぎ</rt></ruby>(さわ)がしい<ruby>場所<rt>ばしょ</rt></ruby>(ばしょ)は<ruby>苦手<rt>にがて</rt></ruby>(にがて)です。","She has a very quiet personality and is always quietly reading a book. She doesn't like noisy places."
"おもい","重い","heavy","この<ruby>荷物<rt>にもつ</rt></ruby>(にもつ)はとても<ruby>重<rt>じゅう</rt></ruby>(おも)いです。<ruby>私<rt>わたくし</rt></ruby>(わたし)<ruby>一人<rt>ひとり</rt></ruby>(ひとり)では<ruby>持<rt>もち</rt></ruby>(も)てません。<ruby>手伝<rt>てつだい</rt></ruby>(てつだ)ってくれますか。","This luggage is very heavy. I can't carry it by myself. Can you help me?"
"かたい","硬い","hard","このパンはとても<ruby>硬<rt>こう</rt></ruby>(かた)いです。<ruby>歯<rt>は</rt></ruby>(は)が<ruby>痛<rt>つう</rt></ruby>(いた)くなるかもしれません。でも、<ruby>味<rt>あじ</rt></ruby>(あじ)は<ruby>美味<rt>びみ</rt></ruby>(おい)しいです。","This bread is very hard. It might hurt my teeth. But the taste is delicious."
"かっこいい","","stylish, good looking","<ruby>彼<rt>かれ</rt></ruby>(かれ)はいつもかっこいい<ruby>服<rt>ふく</rt></ruby>(ふく)を<ruby>着<rt>き</rt></ruby>(き)ています。<ruby>特<rt>とく</rt></ruby>(とく)にスーツを<ruby>着<rt>き</rt></ruby>(き)ている<ruby>時<rt>とき</rt></ruby>(とき)は、とても<ruby>素敵<rt>すてき</rt></ruby>(すてき)です。","He always wears stylish clothes. Especially when he's wearing a suit, he looks very wonderful."
"からい","辛い","spicy","このラーメンはとても<ruby>辛<rt>しん</rt></ruby>(から)いです。でも、<ruby>辛<rt>しん</rt></ruby>(から)いのが<ruby>好<rt>こう</rt></ruby>(す)きなので、<ruby>美味<rt>びみ</rt></ruby>(おい)しく<ruby>食<rt>しょく</rt></ruby>(た)べられます。<ruby>水<rt>みず</rt></ruby>(みず)をたくさん<ruby>飲<rt>いん</rt></ruby>(の)みます。","This ramen is very spicy. But I like spicy food, so I can eat it deliciously. I will drink a lot of water."
"かるい","軽い","light (in weight)","このかばんはとても<ruby>軽<rt>けい</rt></ruby>(かる)いので、<ruby>旅行<rt>りょこう</rt></ruby>(りょこう)に<ruby>持<rt>もち</rt></ruby>(も)っていくのに<ruby>便利<rt>べんり</rt></ruby>(べんり)です。たくさん<ruby>入<rt>いり</rt></ruby>(はい)ります。","This bag is very light, so it's convenient to take on trips. It can hold a lot."
"くるしい","苦しい","trying, rough","<ruby>最近<rt>さいきん</rt></ruby>(さいきん)<ruby>仕事<rt>しごと</rt></ruby>(しごと)が忙(いそが)しくて、<ruby>毎日<rt>まいにち</rt></ruby>(まいにち)<ruby>苦<rt>く</rt></ruby>(くる)しいです。でも、<ruby>頑<rt>がん</rt></ruby><ruby>張<rt>ばり</rt></ruby>(がんば)らなければなりません。","Recently, I've been busy with work, and every day is rough. But I have to do my best."
"くわしい","詳しい","detailed","<ruby>先生<rt>せんせい</rt></ruby>(せんせい)は<ruby>日本<rt>にっぽん</rt></ruby>(にほん)の<ruby>歴史<rt>れきし</rt></ruby>(れきし)に<ruby>詳<rt>つまびらか</rt></ruby>(くわ)しいです。<ruby>何<rt>なん</rt></ruby>(なに)か<ruby>質問<rt>しつもん</rt></ruby>(しつもん)があれば、<ruby>聞<rt>きき</rt></ruby>(き)いてみてください。","The teacher is knowledgeable about Japanese history. If you have any questions, please ask them."
"さびしい","寂しい","lonely","<ruby>一人<rt>ひとり</rt></ruby>(ひとり)でいると<ruby>寂<rt>さび</rt></ruby>(さび)しいです。<ruby>誰<rt>だれ</rt></ruby>(だれ)かと<ruby>一緒<rt>いっしょ</rt></ruby>(いっしょ)に<ruby>話<rt>はなし</rt></ruby>(はな)したり、<ruby>遊<rt>ゆう</rt></ruby>(あそ)んだりしたいです。","I feel lonely when I'm alone. I want to talk or play with someone."
